,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 16:30:00,252.0,256.5,247.5,238.5,247.5,261.0,256.5,247.5,247.5,252.0,274.5,274.5,288.0,283.5,274.5,279.0,243.0,243.0,247.5,256.5,252.0,243.0,252.0,256.5,243.0,234.0,234.0,234.0,252.0,256.5,252.0,234.0
2017-07-03 16:35:00,256.5,238.5,243.0,247.5,261.0,238.5,247.5,256.5,243.0,234.0,265.5,243.0,256.5,265.5,261.0,274.5,247.5,247.5,261.0,238.5,247.5,238.5,234.0,261.0,238.5,243.0,243.0,252.0,256.5,252.0,252.0,238.5
2017-07-03 16:40:00,229.5,261.0,247.5,247.5,252.0,247.5,247.5,247.5,256.5,225.0,261.0,274.5,265.5,256.5,270.0,252.0,243.0,247.5,252.0,243.0,238.5,256.5,238.5,238.5,229.5,229.5,243.0,252.0,252.0,243.0,256.5,238.5
2017-07-03 16:45:00,238.5,252.0,252.0,256.5,252.0,265.5,256.5,265.5,261.0,247.5,283.5,270.0,243.0,270.0,270.0,270.0,256.5,270.0,252.0,225.0,247.5,247.5,252.0,252.0,234.0,220.5,238.5,247.5,270.0,247.5,256.5,238.5
2017-07-03 16:50:00,252.0,243.0,255.6,238.5,248.4,252.0,252.0,252.0,234.0,248.4,270.0,261.0,265.5,270.0,270.0,274.5,255.6,248.4,241.2,234.0,237.6,238.5,252.0,244.8,230.4,229.5,229.5,238.5,252.0,252.0,252.0,234.0
2017-07-03 16:55:00,256.5,241.2,247.5,237.6,247.5,252.0,255.6,273.6,248.4,243.0,279.0,261.0,288.0,256.5,265.5,247.5,252.0,247.5,252.0,261.0,265.5,248.4,243.0,261.0,252.0,241.2,237.6,252.0,252.0,255.6,259.2,234.0
2017-07-03 17:00:00,234.0,234.0,243.0,243.0,252.0,252.0,252.0,247.5,252.0,234.0,265.5,252.0,270.0,265.5,261.0,247.5,243.0,252.0,247.5,252.0,243.0,238.5,229.5,252.0,238.5,238.5,238.5,247.5,252.0,243.0,243.0,238.5
2017-07-03 17:05:00,256.5,261.0,256.5,238.5,252.0,256.5,265.5,270.0,270.0,238.5,270.0,280.8,262.8,270.0,262.8,255.6,261.0,247.5,247.5,256.5,270.0,265.5,261.0,270.0,256.5,247.5,243.0,252.0,247.5,265.5,261.0,238.5
2017-07-03 17:10:00,252.0,243.0,243.0,234.0,252.0,252.0,247.5,252.0,243.0,234.0,256.5,265.5,252.0,256.5,256.5,270.0,247.5,234.0,238.5,238.5,247.5,247.5,243.0,243.0,247.5,220.5,229.5,238.5,256.5,243.0,238.5,238.5
2017-07-03 17:15:00,247.5,265.5,261.0,247.5,256.5,247.5,261.0,247.5,252.0,243.0,252.0,283.5,265.5,261.0,279.0,283.5,247.5,234.0,252.0,256.5,238.5,252.0,229.5,261.0,247.5,238.5,229.5,265.5,247.5,225.0,252.0,238.5
2017-07-03 17:20:00,243.0,256.5,234.0,229.5,261.0,256.5,238.5,243.0,234.0,247.5,261.0,274.5,256.5,252.0,274.5,274.5,252.0,243.0,243.0,243.0,247.5,247.5,238.5,238.5,243.0,229.5,225.0,261.0,243.0,247.5,247.5,225.0
2017-07-03 17:25:00,256.5,261.0,243.0,238.5,247.5,252.0,247.5,261.0,247.5,238.5,274.5,283.5,261.0,274.5,265.5,265.5,234.0,252.0,243.0,252.0,247.5,256.5,225.0,256.5,243.0,243.0,220.5,252.0,261.0,247.5,252.0,252.0
2017-07-03 17:30:00,256.5,256.5,247.5,243.0,252.0,243.0,238.5,238.5,247.5,247.5,283.5,279.0,246.0,276.0,276.0,270.0,243.0,247.5,256.5,256.5,238.5,261.0,234.0,247.5,252.0,247.5,243.0,252.0,252.0,243.0,234.0,229.5
2017-07-03 17:35:00,247.5,261.0,256.5,243.0,265.5,256.5,261.0,252.0,256.5,243.0,279.0,274.5,266.4,270.0,270.0,273.6,243.0,256.5,252.0,252.0,252.0,247.5,234.0,243.0,234.0,225.0,247.5,261.0,256.5,252.0,256.5,225.0
2017-07-03 17:40:00,261.0,256.5,256.5,252.0,247.5,265.5,265.5,247.5,252.0,225.0,279.0,265.5,247.5,265.5,256.5,265.5,243.0,238.5,252.0,247.5,247.5,252.0,216.0,261.0,238.5,225.0,234.0,261.0,256.5,261.0,247.5,225.0
2017-07-03 17:45:00,252.0,243.0,252.0,238.5,252.0,252.0,238.5,252.0,256.5,256.5,256.5,274.5,274.5,270.0,270.0,265.5,238.5,252.0,252.0,252.0,238.5,261.0,234.0,243.0,238.5,243.0,238.5,247.5,252.0,252.0,243.0,247.5
2017-07-03 17:50:00,252.0,247.5,261.0,234.0,265.5,243.0,270.0,247.5,252.0,247.5,270.0,274.5,256.5,261.0,238.5,256.5,252.0,252.0,265.5,243.0,252.0,265.5,229.5,270.0,238.5,234.0,234.0,229.5,247.5,247.5,247.5,243.0
2017-07-03 17:55:00,216.0,243.0,238.5,225.0,252.0,252.0,252.0,238.5,252.0,252.0,261.0,270.0,256.5,261.0,270.0,270.0,234.0,225.0,252.0,238.5,238.5,252.0,238.5,247.5,238.5,225.0,225.0,243.0,252.0,252.0,243.0,234.0
